[ПЗПІ-24]
ОПJ	Основи програмування на Java : Лк (24) - ПЗПІ-23-6,7,8,9,10, Колесников Д. О.: Пз (8) - ПЗПІ-23-10, Мар`Їн С. О.: Пз (8) - ПЗПІ-23-6, Колесников Д. О.: Пз (8) - ПЗПІ-23-7, Колесников Д. О.: Пз (8) - ПЗПІ-23-8, Колесников Д. О.: Пз (8) - ПЗПІ-23-9, Колесников Д. О.: Лб (20) - ПЗПІ-23-10, Мар`Їн С. О.: Лб (20) - ПЗПІ-23-6, Колесников Д. О.: Лб (20) - ПЗПІ-23-7, Колесников Д. О.: Лб (20) - ПЗПІ-23-8, Колесников Д. О.: Лб (20) - ПЗПІ-23-9, Колесников Д. О.:
ОПJа	Основи програмування на Java (англ.) : Лк (24) - ПЗПІ-23-1,2,3,4,5, Колесников Д. О.: Пз (8) - ПЗПІ-23-1, Колесников Д. О.: Пз (8) - ПЗПІ-23-2, Колесников Д. О.: Пз (8) - ПЗПІ-23-3, Ляпота В. М.: Пз (8) - ПЗПІ-23-4, Колесников Д. О.: Пз (8) - ПЗПІ-23-5, Колесников Д. О.: Лб (20) - ПЗПІ-23-1, Колесников Д. О.: Лб (20) - ПЗПІ-23-2, Колесников Д. О.: Лб (20) - ПЗПІ-23-3, Ляпота В. М.: Лб (20) - ПЗПІ-23-4, Колесников Д. О.: Лб (20) - ПЗПІ-23-5, Колесников Д. О.:
*ОРО	*Основи розпізнавання образів : Лк (24) - *ОРО(ПЗПІ-23-)-1, Работягов А. В.: Пз (6) - *ОРО(ПЗПІ-23-)-1, Работягов А. В.: Лб (20) - *ОРО(ПЗПІ-23-)-1, Работягов А. В.:
Пр_П	Проектний практикум : Лк (16) - ПЗПІ-23-6,7,8,9,10, Афанасьєва І. В.: Пз (4) - ПЗПІ-23-10, Онищенко К. Г.: Пз (4) - ПЗПІ-23-6, Онищенко К. Г.: Пз (4) - ПЗПІ-23-7, Онищенко К. Г.: Пз (4) - ПЗПІ-23-8, Онищенко К. Г.: Пз (4) - ПЗПІ-23-9, Онищенко К. Г.: Лб (16) - ПЗПІ-23-10, Онищенко К. Г.: Лб (16) - ПЗПІ-23-6, Онищенко К. Г.: Лб (16) - ПЗПІ-23-7, Онищенко К. Г.: Лб (16) - ПЗПІ-23-8, Онищенко К. Г.: Лб (16) - ПЗПІ-23-9, Онищенко К. Г.:
ПрПА	Проектний практикум (англ.мовою) : Лк (8) - ПЗПІ-23-1,2,3,4,5, Афанасьєва І. В.: Лк (8) - ПЗПІ-23-1,2,3,4,5, Онищенко К. Г.: Пз (4) - ПЗПІ-23-1, Онищенко К. Г.: Пз (4) - ПЗПІ-23-2, Онищенко К. Г.: Пз (4) - ПЗПІ-23-3, Онищенко К. Г.: Пз (4) - ПЗПІ-23-4, Онищенко К. Г.: Пз (4) - ПЗПІ-23-5, Онищенко К. Г.: Лб (16) - ПЗПІ-23-1, Онищенко К. Г.: Лб (16) - ПЗПІ-23-2, Онищенко К. Г.: Лб (16) - ПЗПІ-23-3, Онищенко К. Г.: Лб (16) - ПЗПІ-23-4, Онищенко К. Г.: Лб (16) - ПЗПІ-23-5, Онищенко К. Г.:
СмП	Скриптові мови програмування : Лк (18) - ПЗПІ-23-1,2,3,4,5, Сокорчук І. П.: Лк (18) - ПЗПІ-23-6,7,8,9,10, Груздо І. В.: Пз (2) - ПЗПІ-23-1, Сокорчук І. П.: Пз (2) - ПЗПІ-23-10, Груздо І. В.: Пз (2) - ПЗПІ-23-2, Сокорчук І. П.: Пз (2) - ПЗПІ-23-3, Сокорчук І. П.: Пз (2) - ПЗПІ-23-4, Сокорчук І. П.: Пз (2) - ПЗПІ-23-5, Сокорчук І. П.: Пз (2) - ПЗПІ-23-6, Груздо І. В.: Пз (2) - ПЗПІ-23-7, Груздо І. В.: Пз (2) - ПЗПІ-23-8, Груздо І. В.: Пз (2) - ПЗПІ-23-9, Груздо І. В.: Лб (16) - ПЗПІ-23-1, Сокорчук І. П.: Лб (16) - ПЗПІ-23-10, Груздо І. В.: Лб (16) - ПЗПІ-23-2, Сокорчук І. П.: Лб (16) - ПЗПІ-23-3, Сокорчук І. П.: Лб (16) - ПЗПІ-23-4, Сокорчук І. П.: Лб (16) - ПЗПІ-23-5, Сокорчук І. П.: Лб (16) - ПЗПІ-23-6, Груздо І. В.: Лб (16) - ПЗПІ-23-7, Груздо І. В.: Лб (16) - ПЗПІ-23-8, Груздо І. В.: Лб (16) - ПЗПІ-23-9, Груздо І. В.:
ФВ	Фізичне виховання (за рахунок вільного часу студентів) : Пз (34) - ПЗПІ-23-1: Пз (34) - ПЗПІ-23-10: Пз (34) - ПЗПІ-23-2: Пз (34) - ПЗПІ-23-3: Пз (34) - ПЗПІ-23-4: Пз (34) - ПЗПІ-23-5: Пз (34) - ПЗПІ-23-6: Пз (34) - ПЗПІ-23-7: Пз (34) - ПЗПІ-23-8: Пз (34) - ПЗПІ-23-9:
Філ	Філософія : Лк (24) - ПЗПІ-23-1,2,3,4,5, Омельченко В. В.: Лк (24) - ПЗПІ-23-6,7,8,9,10, Покровський А. М.: Пз (16) - ПЗПІ-23-1, Омельченко В. В.: Пз (16) - ПЗПІ-23-10, Покровський А. М.: Пз (16) - ПЗПІ-23-2, Омельченко В. В.: Пз (16) - ПЗПІ-23-3, Омельченко В. В.: Пз (16) - ПЗПІ-23-4, Омельченко В. В.: Пз (16) - ПЗПІ-23-5, Омельченко В. В.: Пз (16) - ПЗПІ-23-6, Покровський А. М.: Пз (16) - ПЗПІ-23-7, Покровський А. М.: Пз (16) - ПЗПІ-23-8, Покровський А. М.: Пз (16) - ПЗПІ-23-9, Покровський А. М.:

[ПЗПІ-22]
